,name,subcorpus,mcq,5-shot,category,num_instances,average_len,whitespace,emoji,non_ascii,pattern1,pattern2,pattern3,pattern4,pattern5,pattern_unsure,pattern_unrel
98,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Time Zone Conversion,5,217.84,0,3,4,2,0,0,0,0,4,1
99,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Week Identification,5,240.28,0,2,4,6,0,0,0,0,7,3
100,arithmetic_mcq_5shot_nc.json,arithmetic,True,True,Year Shift,5,257.28,0,4,5,3,2,0,1,0,4,0
101,ordering_mcq_0shot_nc.json,ordering,True,False,Commonsense,5,336.88,0,7,7,0,4,0,0,0,0,0
102,ordering_mcq_0shot_nc.json,ordering,True,False,Facts,5,271.48,0,0,6,0,0,0,0,0,3,0
103,duration_saq_5shot_nc.json,duration,False,True,Analogy Inference,5,220.0,0,0,1,1,1,0,0,0,2,1
104,duration_saq_5shot_nc.json,duration,False,True,Commonsense,5,231.72,0,1,5,2,0,0,0,0,8,1
105,duration_saq_5shot_nc.json,duration,False,True,Computation,5,141.8,0,0,5,2,0,0,0,0,5,0
106,duration_saq_5shot_nc.json,duration,False,True,Direct Comparison,5,217.36,0,1,5,1,0,0,1,0,2,0
107,duration_saq_5shot_nc.json,duration,False,True,Facts,5,227.12,0,2,10,0,0,0,0,0,7,0
108,duration_saq_5shot_nc.json,duration,False,True,Multi-Step Comparison,5,141.16,0,0,1,2,0,0,0,0,3,1
109,relation_mcq_5shot_nc.json,relation,True,True,TempEval-3,5,109.0,1,0,0,0,0,0,0,0,3,0
110,relation_saq_5shot_nc.json,relation,False,True,TempEval-3,5,252.6,0,1,2,0,0,0,0,0,4,0
111,relation_saq_0shot_nc.json,relation,False,False,TempEval-3,5,284.96,0,6,12,1,1,0,0,0,1,0
112,frequency_saq_0shot_nc.json,frequency,False,False,Application,5,296.28,0,3,14,0,0,0,0,0,1,0
113,frequency_saq_0shot_nc.json,frequency,False,False,Commonsense,5,300.8,0,0,9,0,0,0,0,0,1,0
114,frequency_saq_0shot_nc.json,frequency,False,False,Comparison,5,345.24,0,2,15,0,0,0,0,0,1,0
115,frequency_saq_0shot_nc.json,frequency,False,False,Computation,5,217.8,0,1,5,0,0,0,0,0,0,0
116,frequency_saq_0shot_nc.json,frequency,False,False,Facts,5,265.2,0,5,11,0,0,0,0,0,1,0
117,frequency_saq_0shot_nc.json,frequency,False,False,Reading Comprehension,5,210.0,0,1,7,0,1,0,0,0,0,0
118,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Application,5,276.68,0,2,7,0,4,0,3,0,1,1
119,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Date Computation,5,237.44,0,1,10,0,5,0,0,0,0,0
120,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Hour Adjustment (12h),5,191.56,0,2,7,0,3,0,0,0,0,0
121,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Hour Adjustment (24h),5,191.4,0,1,1,0,6,0,0,0,2,0
122,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Month Shift,5,267.48,0,1,3,1,3,0,0,0,0,0
123,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Time Computation,5,214.64,0,1,9,0,5,1,0,0,0,0
124,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Time Zone Conversion,5,248.8,0,1,7,1,3,0,0,0,2,0
125,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Week Identification,5,251.28,0,2,8,0,4,0,0,0,1,0
126,arithmetic_mcq_0shot_nc.json,arithmetic,True,False,Year Shift,5,251.92,0,4,10,1,3,0,2,0,0,0
127,nli_saq_0shot_nc.json,nli,False,False,MNLI,5,332.64,0,0,0,1,0,0,0,0,3,0
128,nli_saq_0shot_nc.json,nli,False,False,SNLI,5,343.64,0,2,2,4,0,0,0,1,2,0
129,ordering_saq_0shot_nc.json,ordering,False,False,Commonsense,5,317.4,0,0,8,0,0,0,0,1,0,0
130,ordering_saq_0shot_nc.json,ordering,False,False,Facts,5,258.92,0,0,7,0,1,0,0,0,0,0
131,nli_saq_5shot_nc.json,nli,False,True,MNLI,5,352.64,0,0,1,4,2,0,0,2,4,1
132,nli_saq_5shot_nc.json,nli,False,True,SNLI,5,385.76,0,1,2,9,2,0,2,6,2,0
133,causality_mcq_5shot_nc.json,causality,True,True,Cause,5,224.4,0,0,0,1,0,0,0,0,1,0
134,causality_mcq_5shot_nc.json,causality,True,True,Effect,5,272.92,0,0,2,0,0,0,0,0,0,0
135,nli_mcq_0shot_nc.json,nli,True,False,MNLI,5,304.0,0,1,6,2,0,0,0,1,2,0
136,nli_mcq_0shot_nc.json,nli,True,False,SNLI,5,271.56,0,5,7,1,1,0,1,0,0,0
